product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
1048,706,6771,0,15,8.84,4.066,4
931,706,6771,0,15,5.7,2.565,3
1281,706,6771,0,15,8.31,2.493,3
232,706,6771,0,15,5.26,1.946,2
189,706,4446,0,15,10.35,3.622,3
1537,706,4446,0,15,5.46,2.402,2
195,706,4446,0,15,7.08,2.761,4
698,706,6781,0,15,6.99,2.656,3
422,706,6781,0,15,7.34,2.202,2
838,706,6781,0,15,5.16,2.219,2
1148,706,6781,0,15,5.38,2.26,2
632,706,6781,0,15,2.49,1.17,3
313,706,8665,0,15,8.55,3.42,3
409,706,8665,0,15,7.82,3.832,2
852,706,8665,0,15,2.76,1.214,4
1494,706,8665,0,15,3.36,1.344,2
1538,706,8665,0,15,6.8,2.924,2
263,706,8665,0,15,15.2,4.864,4
558,706,8665,0,15,2.4,0.984,3
875,706,8092,0,15,10.32,4.128,3
419,706,5865,0,15,10.71,4.177,3
1234,706,5865,0,15,1.68,0.756,3
346,706,5865,0,15,8.48,3.138,4
309,706,5865,0,15,7.24,2.244,2
1442,706,7951,0,15,4.92,1.722,3
526,706,7951,0,15,4.5,1.8,2
156,706,7951,0,15,1.65,0.528,3
439,706,7951,0,15,10.5,4.725,3
1115,706,7120,0,15,7.5,3.375,3
1092,706,7120,0,15,9.52,4.76,4
17,706,7120,0,15,8.97,3.229,3
127,706,7120,0,15,5.22,2.245,3
522,706,432,0,15,3.26,1.337,2
899,706,432,0,15,7.68,2.458,4
56,706,979,0,15,1.42,0.611,2
739,706,979,0,15,4.76,1.809,2
250,706,979,0,15,5.18,2.176,2
569,706,8250,0,15,9.48,3.223,3
1146,706,8250,0,15,5.14,2.57,2
902,706,4291,0,15,1.94,0.621,2
147,706,4291,0,15,1.92,0.845,3
124,706,4291,0,15,3.63,1.307,3
946,706,6399,0,15,8.55,3.762,3
430,706,6399,0,15,5.4,2.106,3
420,706,6399,0,15,6.81,2.452,3
736,706,6700,0,15,8.52,4.004,4
646,706,6700,0,15,2.56,0.947,2
1522,706,4705,0,15,4.56,1.87,4
673,706,4705,0,15,5.48,1.699,2
104,706,4705,0,15,15.56,7.469,4
986,706,4705,0,15,14,4.2,4
1456,706,4705,0,15,5.49,2.141,3
193,706,4705,0,15,11.04,3.754,3
310,706,8665,0,15,1.52,0.73,2
33,706,8665,0,15,4.08,1.918,3
449,706,8665,0,15,11.07,5.092,3
260,706,8783,0,15,5.52,1.822,3
183,706,8783,0,15,9.64,4.627,4
1558,706,8783,0,15,6.48,2.786,3
1475,706,3740,0,15,14.24,5.838,4
1062,706,9452,0,15,4.76,2.237,2
453,706,9452,0,15,5.84,2.278,2
723,706,9452,0,15,1.53,0.49,3
740,706,9452,0,15,5.91,2.187,3
690,706,9452,0,15,2.88,1.238,2
840,706,9452,0,15,4.11,1.48,3
1516,706,2217,0,15,6.72,3.024,2
1478,706,2217,0,15,5.32,2.394,2
763,706,2217,0,15,7.65,2.295,3
207,706,2217,0,15,3.72,1.376,3
1229,706,7646,0,15,2.6,1.248,2
1466,706,2132,0,15,7.2,3.312,4
70,706,2132,0,15,1.94,0.834,2
313,706,2132,0,15,5.7,2.565,2
1555,706,2132,0,15,11.8,4.012,4
78,706,4454,0,15,8.76,2.716,4
1093,706,4454,0,15,11.24,4.271,4
1163,706,4454,0,15,2.46,0.91,3
1320,706,5116,0,15,7.98,3.751,3
483,706,5116,0,15,5.82,1.979,3
361,706,10168,0,15,4.52,1.492,4
